"gsm","arm","celltype","topic_0","x","y"
"GSM5050523","DFU-healer","pericyte_smc",0.012316263,-4.521413,7.0715294
"GSM5050569","DFU-healer","fibroblast",0.017959928,2.4608817,-2.8040283
"GSM5050555","Non-diabetic","pericyte_smc",0.008636337,-4.455659,0.6553653
"GSM5050547","DFU-healer","myeloid",0.006868504,12.947601,-4.2130427
"GSM5050555","Non-diabetic","pericyte_smc",0.015127336,-6.1672773,5.3594594
"GSM5050523","DFU-healer","fibroblast",0.008304493,7.123932,-4.2394404
"GSM5050555","Non-diabetic","fibroblast",0.011886303,1.6602149,-3.3752756
"GSM5050534","Non-diabetic","keratinocyte",0.025090413,-10.703114,-1.1698232
"GSM5050548","Non-diabetic","pericyte_smc",0.014512696,-7.679296,6.9799933
"GSM5050574","Non-diabetic","lymphatic_ec",0.014015511,-2.92432,-8.157335
"GSM5050530","DFU-nonhealer","keratinocyte",0.009521938,-2.6307702,13.297292
"GSM5050569","DFU-healer","endothelial",0.023921434,0.19380751,-10.685129
"GSM5050538","Non-diabetic","sweat_gland",0.028997876,3.6750412,-2.476666
"GSM5050556","Non-diabetic","melanocyte",0.0077284086,10.082272,9.953713
"GSM5050533","DFU-nonhealer","melanocyte",0.013438866,5.6130915,10.475934
"GSM5050530","DFU-nonhealer","b_plasma",0.009370868,12.754307,0.8058852
"GSM5050538","Non-diabetic","sweat_gland",0.0121986605,-8.614519,3.4476678
"GSM5050539","DFU-healer","myeloid",0.0071386374,13.251443,-3.5003376
"GSM5050573","DFU-healer","t_cell",0.0061773234,14.439026,5.1956215
"GSM5050573","DFU-healer","keratinocyte",0.021619665,-0.5016995,12.921485
"GSM5050573","DFU-healer","pericyte_smc",0.013695412,-4.187825,5.2499757
"GSM5050569","DFU-healer","fibroblast",0.0135507565,1.0591401,-3.2407672
"GSM5050538","Non-diabetic","keratinocyte",0.00925861,4.2544155,12.362532
"GSM5050555","Non-diabetic","myeloid",0.0073621497,12.020537,-2.0136328
"GSM5050564","Non-diabetic","pericyte_smc",0.020454545,-2.7982194,10.76331
"GSM5050533","DFU-nonhealer","melanocyte",0.532013,-8.709329,15.1339655
"GSM5050557","DFU-nonhealer","keratinocyte",0.0041244775,1.5272807,16.192247
"GSM5050523","DFU-healer","fibroblast",0.037339143,6.0373807,-2.2984042
"GSM5050531","DFU-healer","myeloid",0.014788983,11.100854,-4.5846395
"GSM5050573","DFU-healer","keratinocyte",0.004953634,2.9813983,15.623271
"GSM5050552","Non-diabetic","melanocyte",0.0067057763,-3.388374,-9.866817
"GSM5050531","DFU-healer","endothelial",0.012920301,-1.5908719,-10.391264
"GSM5050538","Non-diabetic","keratinocyte",0.0081750415,4.5309863,11.459714
"GSM5050573","DFU-healer","pericyte_smc",0.021084141,-4.435113,4.7867327
"GSM5050547","DFU-healer","fibroblast",0.01354263,1.3520768,-3.8266413
"GSM5050527","DFU-healer","myeloid",0.028292252,10.824424,-4.524011
"GSM5050534","Non-diabetic","keratinocyte",0.0041026506,2.0969095,16.335125
"GSM5050552","Non-diabetic","endothelial",0.0063053602,-2.7529309,-10.58884
"GSM5050569","DFU-healer","pericyte_smc",0.007473172,-4.3061056,1.1750189
"GSM5050555","Non-diabetic","pericyte_smc",0.009201778,-5.14871,0.5803494
"GSM5050527","DFU-healer","fibroblast",0.021560831,3.4524498,-2.5042577
"GSM5050530","DFU-nonhealer","t_cell",0.0048328848,16.03207,5.6624107
"GSM5050556","Non-diabetic","keratinocyte",0.015666835,1.1432005,11.375478
"GSM5050558","DFU-nonhealer","myeloid",0.007205077,11.553294,-2.5822823
"GSM5050538","Non-diabetic","endothelial",0.005776686,-3.7382202,-10.506135
"GSM5050548","Non-diabetic","pericyte_smc",0.009400933,-11.187915,4.8613014
"GSM5050538","Non-diabetic","keratinocyte",0.0049419007,3.2552712,16.0976
"GSM5050556","Non-diabetic","fibroblast",0.009638666,3.6492195,4.389208
"GSM5050569","DFU-healer","fibroblast",0.01085561,6.9053392,-2.7830687
"GSM5050531","DFU-healer","pericyte_smc",0.02461181,-2.5939226,2.9893358
"GSM5050530","DFU-nonhealer","t_cell",0.0057784338,15.038306,5.204969
"GSM5050557","DFU-nonhealer","myeloid",0.005929759,12.943879,-2.7913163
"GSM5050539","DFU-healer","pericyte_smc",0.019707317,-5.8150735,5.531143
"GSM5050527","DFU-healer","myeloid",0.0071907723,10.691486,-2.6521199
"GSM5050548","Non-diabetic","pericyte_smc",0.0096821375,-9.393845,8.204415
"GSM5050523","DFU-healer","pericyte_smc",0.013314298,-6.4214444,2.130477
"GSM5050523","DFU-healer","pericyte_smc",0.016209332,-9.002113,4.771591
"GSM5050552","Non-diabetic","keratinocyte",0.0040143267,1.9024462,16.510384
"GSM5050523","DFU-healer","endothelial",0.00837554,-0.49663058,-9.277641
"GSM5050555","Non-diabetic","myeloid",0.00640545,11.679056,-2.6573648
"GSM5050527","DFU-healer","fibroblast",0.5864831,5.6993113,0.3550704
"GSM5050534","Non-diabetic","pericyte_smc",0.015702758,-6.7865996,7.090562
"GSM5050538","Non-diabetic","endothelial",0.015057082,-1.5502992,-6.633307
"GSM5050573","DFU-healer","keratinocyte",0.011738159,-1.8409903,11.464222
"GSM5050540","Non-diabetic","fibroblast",0.268493,7.1326838,-0.32503173
"GSM5050557","DFU-nonhealer","myeloid",0.0065837866,14.001069,-2.8659208
"GSM5050534","Non-diabetic","pericyte_smc",0.012600676,-6.9711704,5.2768044
"GSM5050558","DFU-nonhealer","t_cell",0.0052731954,16.281187,7.7470226
"GSM5050557","DFU-nonhealer","myeloid",0.005309012,12.9164915,-4.3941894
"GSM5050534","Non-diabetic","fibroblast",0.015887445,0.670647,0.30893832
"GSM5050556","Non-diabetic","myeloid",0.006770907,11.740688,-2.7994945
"GSM5050547","DFU-healer","fibroblast",0.010547469,2.6711261,-4.6915417
"GSM5050552","Non-diabetic","endothelial",0.006666509,-4.0239625,-11.004666
"GSM5050538","Non-diabetic","keratinocyte",0.008801048,4.4024835,12.82876
"GSM5050547","DFU-healer","myeloid",0.0074726655,12.17013,-4.557967
"GSM5050540","Non-diabetic","fibroblast",0.40886632,7.3746758,0.09587237
"GSM5050534","Non-diabetic","endothelial",0.008840361,-1.1070173,-9.015627
"GSM5050563","DFU-nonhealer","endothelial",0.16260901,-1.3137745,-7.552671
"GSM5050523","DFU-healer","fibroblast",0.018313866,4.1145077,-2.785833
"GSM5050552","Non-diabetic","keratinocyte",0.0071918527,4.3531837,11.5529585
"GSM5050552","Non-diabetic","fibroblast",0.014997747,3.3439784,-1.7360288
"GSM5050534","Non-diabetic","pericyte_smc",0.0148955835,-1.4821858,-7.783442
"GSM5050538","Non-diabetic","pericyte_smc",0.009223111,-4.949424,0.5293926
"GSM5050556","Non-diabetic","keratinocyte",0.0048814462,4.1833014,14.835397
"GSM5050532","DFU-healer","fibroblast",0.022265224,1.0467168,-2.7663994
"GSM5050556","Non-diabetic","fibroblast",0.009035332,2.9857805,-4.4447436
"GSM5050531","DFU-healer","lymphatic_ec",0.15244897,-1.511517,-8.865183
"GSM5050552","Non-diabetic","fibroblast",0.03559789,2.0859344,2.0597265
"GSM5050558","DFU-nonhealer","pericyte_smc",0.013222194,-8.041924,4.6864014
"GSM5050558","DFU-nonhealer","pericyte_smc",0.0136238625,-8.616136,3.4027445
"GSM5050547","DFU-healer","pericyte_smc",0.0651281,-3.1234794,6.7601123
"GSM5050539","DFU-healer","myeloid",0.00472355,13.14561,-3.6797254
"GSM5050547","DFU-healer","keratinocyte",0.004853133,2.2254612,15.50318
"GSM5050539","DFU-healer","pericyte_smc",0.021197665,-4.2842045,1.8063387
"GSM5050574","Non-diabetic","fibroblast",0.00952282,-0.38484177,-0.7833936
"GSM5050538","Non-diabetic","keratinocyte",0.0042405156,3.326419,16.3566
"GSM5050534","Non-diabetic","myeloid",0.00753117,10.758026,-2.39916
"GSM5050555","Non-diabetic","melanocyte",0.0056231124,10.268922,9.7728195
"GSM5050556","Non-diabetic","pericyte_smc",0.0066840453,-9.353559,8.544879
"GSM5050534","Non-diabetic","sweat_gland",0.010659803,-9.909909,5.593079
"GSM5050558","DFU-nonhealer","pericyte_smc",0.011268634,-10.532288,4.3136587
"GSM5050534","Non-diabetic","fibroblast",0.008681359,-0.20954064,0.7237915
"GSM5050566","DFU-healer","keratinocyte",0.009311559,5.848771,10.531248
"GSM5050538","Non-diabetic","sweat_gland",0.007043097,-4.0132856,-8.5359745
"GSM5050556","Non-diabetic","fibroblast",0.009709864,3.016049,-3.2966392
"GSM5050534","Non-diabetic","pericyte_smc",0.010451414,-10.009917,6.473077
"GSM5050548","Non-diabetic","t_cell",0.004712581,16.881985,6.630619
"GSM5050538","Non-diabetic","sweat_gland",0.012800483,-5.132497,2.9756985
"GSM5050548","Non-diabetic","keratinocyte",0.0038386718,1.8626287,16.543968
"GSM5050531","DFU-healer","t_cell",0.004650064,16.477665,6.4169564
"GSM5050557","DFU-nonhealer","fibroblast",0.02203594,2.9166255,2.635338
"GSM5050531","DFU-healer","pericyte_smc",0.016834946,-1.7255607,3.3036509
"GSM5050530","DFU-nonhealer","sweat_gland",0.020120054,-1.6048167,11.184699
"GSM5050527","DFU-healer","fibroblast",0.48672602,4.8500104,0.4641067
"GSM5050557","DFU-nonhealer","pericyte_smc",0.013188527,-8.306641,3.9347007
"GSM5050558","DFU-nonhealer","pericyte_smc",0.013620959,-4.778583,6.489982
"GSM5050548","Non-diabetic","pericyte_smc",0.014717788,-7.2482142,5.419564
"GSM5050557","DFU-nonhealer","mast",0.0079011815,13.894661,-1.3614134
"GSM5050574","Non-diabetic","keratinocyte",0.009772359,-1.8295685,12.549365
"GSM5050555","Non-diabetic","pericyte_smc",0.010572247,-5.440906,7.3955407
"GSM5050533","DFU-nonhealer","fibroblast",0.012060848,4.609575,-3.231774
"GSM5050523","DFU-healer","fibroblast",0.017475389,5.4178543,-2.631125
"GSM5050538","Non-diabetic","pericyte_smc",0.014384453,-6.7583156,7.925089
"GSM5050557","DFU-nonhealer","melanocyte",0.00979754,-3.2825458,12.7322235
"GSM5050538","Non-diabetic","pericyte_smc",0.013552699,-5.7351513,5.46746
"GSM5050547","DFU-healer","fibroblast",0.26422626,5.12311,-0.56456774
"GSM5050555","Non-diabetic","mast",0.00963365,11.996934,-1.0848793
"GSM5050540","Non-diabetic","fibroblast",0.19540185,-1.0556941,4.600965
"GSM5050558","DFU-nonhealer","myeloid",0.006223812,13.740829,-3.087393
"GSM5050538","Non-diabetic","sweat_gland",0.0099194525,-4.708979,0.9523698
"GSM5050557","DFU-nonhealer","myeloid",0.004859423,13.795463,-4.0992126
"GSM5050538","Non-diabetic","fibroblast",0.02316423,1.9626747,-2.283093
"GSM5050533","DFU-nonhealer","keratinocyte",0.0064526205,3.9727697,13.934402
"GSM5050527","DFU-healer","fibroblast",0.17848614,4.8270173,-0.70797604
"GSM5050556","Non-diabetic","fibroblast",0.014024685,2.3016875,-1.4280692
"GSM5050552","Non-diabetic","keratinocyte",0.0034595474,0.9528177,16.750168
"GSM5050573","DFU-healer","melanocyte",0.021390466,-6.4000826,7.395887
"GSM5050557","DFU-nonhealer","pericyte_smc",0.0069212588,-10.908321,5.9401417
"GSM5050547","DFU-healer","pericyte_smc",0.013321827,-7.315311,5.3173704
"GSM5050557","DFU-nonhealer","t_cell",0.007188183,14.975221,5.538764
"GSM5050547","DFU-healer","endothelial",0.03721712,-1.615403,-7.72561
"GSM5050573","DFU-healer","keratinocyte",0.0048130797,3.1211681,15.162812
"GSM5050555","Non-diabetic","pericyte_smc",0.013823928,-7.3931756,7.374812
"GSM5050531","DFU-healer","keratinocyte",0.0034566128,0.3975072,16.686672
"GSM5050569","DFU-healer","fibroblast",0.0074099437,6.21316,-4.3994503
"GSM5050523","DFU-healer","fibroblast",0.16094148,7.0149584,-0.99762034
