"celltype","gene","cells","mean_log1p_cp10k","detected_fraction","pseudobulk_log1p_cp10k","scaled"
"Melano.","RGS5",1330,0.126153822362472,0.0541353383458647,0.42794498671221,0.0461509289826005
"Melano.","TPSAB1",1330,0.00753872516466154,0.00601503759398496,0.0175886507569702,0.000659664446423396
"Melano.","PMEL",1330,1.41717777307772,0.429323308270677,3.5920241285217,1
"Melano.","DCD",1330,0.303511177578486,0.175187969924812,0.697959267329115,0.113666045898823
"Melano.","TIMP1",1330,0.997857996820348,0.500751879699248,2.12582765493816,0.292221199149328
"Melano.","CHI3L1",1330,0.0499265083941617,0.0225563909774436,0.248525445897981,0.0770141738114845
"Melano.","FN1",1330,0.572468927416378,0.335338345864662,1.11263426904339,0.255810273038973
"Melano.","DCN",1330,0.865452731039301,0.303007518796993,2.42453575230339,0.18318648099938
"Melano.","LUM",1330,0.566414676192427,0.229323308270677,1.61465796387916,0.143065239923247
"Myeloid","COL1A1",5691,0.366865749373425,0.261816903883325,1.11457165154409,0.006043527507024
"Myeloid","PDGFRA",5691,0.018048039415187,0.0177473203303462,0.041637820270787,0.00833230711966225
"Myeloid","KRT14",5691,0.46966051126745,0.321560358460727,0.672492058537623,0.0345750246256981
"Myeloid","KRT10",5691,0.602005743847716,0.450711649973643,0.859941888469992,0
"Myeloid","LYZ",5691,2.60765010023719,0.855034264628361,3.53289100402223,1
"Myeloid","CD3D",5691,0.00660585865910463,0.00650149358636443,0.0164292964026838,0.00408952174418938
"Myeloid","MS4A1",5691,0.00188170046005047,0.00175716042874714,0.00440760540520272,0.00143335960228191
"Myeloid","PECAM1",5691,0.424301796683241,0.358987875593042,0.625314825112416,0.188397321678941
"Myeloid","CCL21",5691,0.0237293185021619,0.0230188016165876,0.0413729613459469,0.000631757883405165
"Myeloid","RGS5",5691,0.0343797680536826,0.0281145668599543,0.112921530387537,0
"Myeloid","TPSAB1",5691,0.011574243096291,0.0100158144438587,0.0169723179927996,0.00186515427702673
"Myeloid","PMEL",5691,0.00325254597876436,0.00439290107186786,0.00687837276352687,0.00148960482979755
"Myeloid","DCD",5691,0.125018269810252,0.0834651203654894,0.21726811818013,0.0415873522455174
"Myeloid","TIMP1",5691,1.87200585786313,0.811983834124056,2.62260955861512,0.682380141454368
"Myeloid","CHI3L1",5691,0.0428178568699037,0.031980319803198,0.289468467427159,0.062895545280541
"Myeloid","FN1",5691,0.178715514647811,0.121419785626428,0.554781153263797,0.0434318529456218
"Myeloid","DCN",5691,0.286272568498519,0.208399226849411,0.840952322395843,0.0262358288336971
"Myeloid","LUM",5691,0.180022866637464,0.130029871727289,0.528438881577717,0.0165402253133826
"Mural","COL1A1",18780,2.09574100139926,0.814430244941427,3.82339826489007,0.449556787209608
"Mural","PDGFRA",18780,0.0101941543533167,0.0124600638977636,0.0245377289074634,0
"Mural","KRT14",18780,0.513611524940551,0.377742279020234,1.04843136234554,0.046597961045016
"Mural","KRT10",18780,1.02978881834522,0.699627263045793,1.28577459575701,0.177543930512928
"Mural","LYZ",18780,0.0123783772894098,0.0129392971246006,0.0205596250343807,0.00274730840845876
"Mural","CD3D",18780,0.00176085810296718,0.00212992545260916,0.00391837379338054,0.000452497059965386
"Mural","MS4A1",18780,0.000308850185479178,0.00053248136315229,0.000927547668029747,0.000235262406754822
"Mural","PECAM1",18780,0.0152226071736924,0.0181576144834931,0.0294015675418665,0
"Mural","CCL21",18780,0.0742778433080556,0.0662406815761448,0.137690128686877,0.0187427354572047
"Mural","RGS5",18780,2.02294329931844,0.724174653887114,2.83234692098942,1
"Mural","TPSAB1",18780,0.00749973184004909,0.00756123535676251,0.0102973236634746,0.000648016361325495
"Mural","PMEL",18780,0.0062429877867139,0.00990415335463259,0.0140348672348907,0.00360144722015913
"Mural","DCD",18780,0.230696183772189,0.154313099041534,0.333276253067764,0.0842620225258255
"Mural","TIMP1",18780,1.9141817072498,0.855644302449414,3.13802055220803,0.701204513761232
"Mural","CHI3L1",18780,0.0239348590833298,0.0233759318423855,0.0792244718935488,0.025391662808669
"Mural","FN1",18780,1.23518245802224,0.634984025559105,2.34584614225778,0.613257467248525
"Mural","DCN",18780,0.787794909161937,0.452076677316294,1.50394515196425,0.162142172893332
"Mural","LUM",18780,0.769635002606795,0.43013844515442,1.459717603481,0.209610270466762
"Gland","COL1A1",2870,1.10682492761134,0.477700348432056,1.91847907157643,0.19586734897858
"Gland","PDGFRA",2870,0.185984826038333,0.119512195121951,0.312682146698758,0.186499019747874
"Gland","KRT14",2870,1.2985513684807,0.482926829268293,3.46761649399296,0.261320695361573
"Gland","KRT10",2870,1.43082504733596,0.715679442508711,1.84582491170112,0.343987047638907
"Gland","LYZ",2870,0.0170373871430858,0.00731707317073171,0.0336802340934534,0.00453756800850272
"Gland","CD3D",2870,0.00976264804001718,0.00418118466898955,0.0119175452668189,0.0064592471483962
"Gland","MS4A1",2870,0.000681383993019878,0.000348432055749129,0.000570734345681803,0.000519034942049191
"Gland","PECAM1",2870,0.0502614838800316,0.0250871080139373,0.0758343139149954,0.016136803571033
"Gland","CCL21",2870,0.0395830375116916,0.0268292682926829,0.0667971248592319,0.00631197012590831
"Gland","RGS5",2870,0.340050227194399,0.129616724738676,0.823653302271096,0.153714203411095
