gsm,celltype,gene,cells,mean_log1p_cp10k,detected_fraction,pseudobulk_log1p_cp10k
GSM5050568,sweat_gland,CCL21,118,0.0,0.0,0.0
GSM5050568,sweat_gland,RGS5,118,0.07784498779475245,0.05084745762711865,0.10918912893792161
GSM5050568,sweat_gland,TPSAB1,118,0.0,0.0,0.0
GSM5050568,sweat_gland,PMEL,118,0.004133302321823953,0.00847457627118644,0.01043385747791637
GSM5050568,sweat_gland,DCD,118,3.3077468094139397,0.8559322033898306,7.5258923124271355
GSM5050568,sweat_gland,TIMP1,118,0.6210029862622233,0.3389830508474576,0.9245880524314902
GSM5050568,sweat_gland,CHI3L1,118,0.016828890992219615,0.03389830508474576,0.05111355813153406
GSM5050568,sweat_gland,FN1,118,0.3191330941648538,0.1694915254237288,0.6092645756223173
GSM5050568,sweat_gland,DCN,118,0.8582389723547379,0.3050847457627119,2.2574412374703394
GSM5050568,sweat_gland,LUM,118,0.4573136765139762,0.17796610169491525,1.3267987601778446
GSM5050568,t_cell,COL1A1,38,0.0,0.0,0.0
GSM5050568,t_cell,PDGFRA,38,0.0,0.0,0.0
GSM5050568,t_cell,KRT14,38,0.14258792424788083,0.15789473684210525,0.2535307298875903
GSM5050568,t_cell,KRT10,38,0.5451994142505896,0.42105263157894735,0.9505446579258637
GSM5050568,t_cell,LYZ,38,0.0,0.0,0.0
GSM5050568,t_cell,CD3D,38,0.9602604988184796,0.5526315789473685,1.4289315249065628
GSM5050568,t_cell,MS4A1,38,0.2088453143264015,0.15789473684210525,0.3596657921050595
GSM5050568,t_cell,PECAM1,38,0.052855618483958505,0.05263157894736842,0.09183961173649313
GSM5050568,t_cell,CCL21,38,0.02138973153288261,0.02631578947368421,0.04697374983574506
GSM5050568,t_cell,RGS5,38,0.0,0.0,0.0
GSM5050568,t_cell,TPSAB1,38,0.0,0.0,0.0
GSM5050568,t_cell,PMEL,38,0.0,0.0,0.0
GSM5050568,t_cell,DCD,38,0.730147530173099,0.4473684210526316,0.9870501240715952
GSM5050568,t_cell,TIMP1,38,0.690536051526651,0.5526315789473685,0.9505446579258637
GSM5050568,t_cell,CHI3L1,38,0.0,0.0,0.0
GSM5050568,t_cell,FN1,38,0.020414168880403,0.02631578947368421,0.04697374983574506
GSM5050568,t_cell,DCN,38,0.0,0.0,0.0
GSM5050568,t_cell,LUM,38,0.0824826005360928,0.05263157894736842,0.09183961173649313
GSM5050569,b_plasma,COL1A1,17,3.0721886689585123,1.0,4.049470829592123
GSM5050569,b_plasma,PDGFRA,17,0.15817798062604463,0.17647058823529413,0.1509260611703057
